Ano,Docente,MestradoAcademico,MestradoProfissional,Doutorado,DoutoradoProfissional,ProdBibliograficas,ProdTecnicas,ProdArtisticas,TurmasMinistradas,ProjetosPesquisa
2021,Docente: ALBA CRISTINA MAGALHAES ALVES DE MELO,2,0,7,0,8,7,0,2,5
2021,Docente: ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN,2,0,4,0,21,8,0,1,7
2021,Docente: ANDRE COSTA DRUMMOND,0,0,6,0,3,0,0,0,1
2021,Docente: BRUNO LUIGGI MACCHIAVELLO ESPINOZA,1,0,3,0,3,0,0,0,5
2021,Docente: CAMILO CHANG DOREA,0,0,0,0,1,2,0,0,2
2021,Docente: CELIA GHEDINI RALHA,4,0,6,0,10,0,0,2,8
2021,Docente: CLAUDIA NALON,1,0,0,0,3,2,0,0,2
2021,Docente: DIBIO LEANDRO BORGES,2,0,0,0,5,0,0,0,3
2021,Docente: EDNA DIAS CANEDO,5,0,4,0,21,1,0,2,3
2021,Docente: EDUARDO ADILIO PELINSON ALCHIERI,2,0,2,0,8,0,0,0,3
2021,Docente: FLAVIO DE BARROS VIDAL,5,0,1,0,4,0,0,0,3
2021,Docente: GENAINA NUNES RODRIGUES,5,0,5,0,1,4,0,2,7
2021,Docente: GEORGE LUIZ MEDEIROS TEODORO,0,0,3,0,10,7,0,0,3
2021,Docente: GERALDO PEREIRA ROCHA FILHO,3,0,0,0,11,1,0,0,2
2021,Docente: JACIR LUIZ BORDIM,2,0,3,0,5,3,0,0,2
2021,Docente: LI WEIGANG,3,0,6,0,9,0,0,2,3
2021,Docente: LUIS PAULO FAINA GARCIA,3,0,0,0,5,3,0,0,3
2021,Docente: MARCELO ANTONIO MAROTTA,1,0,0,0,5,1,0,1,3
2021,Docente: MARIA EMILIA MACHADO TELLES WALTER,0,0,5,0,4,1,0,0,5
2021,Docente: MARISTELA TERTO DE HOLANDA,4,0,4,0,19,1,0,0,2
2021,Docente: MAURICIO AYALA RINCON,1,0,8,0,6,6,0,2,5
2021,Docente: MYLENE CHRISTINE QUEIROZ DE FARIAS,1,0,4,0,11,2,0,1,4
2021,Docente: PRISCILA AMERICA SOLIS MENDEZ BARRETO,2,0,0,0,3,0,0,2,2
2021,Docente: RICARDO LOPES DE QUEIROZ,0,0,2,0,4,2,0,2,2
2021,Docente: RICARDO PEZZUOL JACOBI,6,0,5,0,4,0,0,2,1
2021,Docente: RODRIGO BONIFACIO DE ALMEIDA,6,0,6,0,4,0,0,2,6
2021,Docente: TEOFILO EMIDIO DE CAMPOS,3,0,3,0,5,0,0,0,5
2021,Docente: THIAGO DE PAULO FALEIROS,6,0,0,0,2,1,0,0,2
2021,Docente: VANDER RAMOS ALVES,3,0,1,0,3,1,0,2,3
2021,Docente: VINICIUS RUELA PEREIRA BORGES,0,0,0,0,2,2,0,0,1
2022,Docente: ALBA CRISTINA MAGALHAES ALVES DE MELO,3,0,4,0,2,4,0,2,5
2022,Docente: ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN,1,0,5,0,20,6,0,2,7
2022,Docente: ANDRE COSTA DRUMMOND,0,0,4,0,1,0,0,0,1
2022,Docente: BRUNO LUIGGI MACCHIAVELLO ESPINOZA,2,0,3,0,1,0,0,0,4
2022,Docente: CAMILO CHANG DOREA,0,0,0,0,1,0,0,0,1
2022,Docente: CELIA GHEDINI RALHA,2,0,6,0,9,0,0,2,9
2022,Docente: CLAUDIA NALON,1,0,0,0,3,5,0,1,2
2022,Docente: DIBIO LEANDRO BORGES,2,0,0,0,9,2,0,0,3
2022,Docente: EDNA DIAS CANEDO,3,0,3,0,24,1,0,2,3
2022,Docente: EDUARDO ADILIO PELINSON ALCHIERI,1,0,3,0,5,0,0,0,3
2022,Docente: EDUARDO PEIXOTO FERNANDES DA SILVA,0,0,0,0,1,0,0,0,0
2022,Docente: FLAVIO DE BARROS VIDAL,4,0,1,0,7,5,0,0,3
2022,Docente: GENAINA NUNES RODRIGUES,4,0,6,0,4,2,0,2,7
2022,Docente: GEORGE LUIZ MEDEIROS TEODORO,0,0,3,0,9,2,0,0,2
2022,Docente: GERALDO PEREIRA ROCHA FILHO,5,0,0,0,24,4,0,0,2
2022,Docente: JACIR LUIZ BORDIM,1,0,3,0,1,0,0,0,2
2022,Docente: LI WEIGANG,3,0,5,0,10,3,0,2,4
2022,Docente: LUIS PAULO FAINA GARCIA,3,0,0,0,7,1,0,0,3
2022,Docente: MARCELO ANTONIO MAROTTA,1,0,0,0,9,2,0,2,3
2022,Docente: MARIA EMILIA MACHADO TELLES WALTER,1,0,5,0,2,1,0,0,5
2022,Docente: MARISTELA TERTO DE HOLANDA,3,0,4,0,14,0,0,0,2
2022,Docente: MAURICIO AYALA RINCON,1,0,6,0,6,4,0,2,6
2022,Docente: MYLENE CHRISTINE QUEIROZ DE FARIAS,1,0,3,0,16,2,0,0,4
2022,Docente: PRISCILA AMERICA SOLIS MENDEZ BARRETO,2,0,0,0,3,0,0,1,2
2022,Docente: RICARDO LOPES DE QUEIROZ,0,0,2,0,5,0,0,2,1
2022,Docente: RICARDO PEZZUOL JACOBI,6,0,5,0,1,0,0,2,1
2022,Docente: RODRIGO BONIFACIO DE ALMEIDA,7,0,4,0,4,1,0,2,4
2022,Docente: TEOFILO EMIDIO DE CAMPOS,2,0,3,0,3,0,0,0,4
2022,Docente: THIAGO DE PAULO FALEIROS,5,0,0,0,5,0,0,0,2
2022,Docente: VANDER RAMOS ALVES,2,0,1,0,0,0,0,1,2
2022,Docente: VINICIUS RUELA PEREIRA BORGES,0,0,0,0,5,3,0,0,1
2023,Docente: ALBA CRISTINA MAGALHAES ALVES DE MELO,3,0,3,0,4,4,0,3,5
2023,Docente: ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN,0,0,6,0,20,3,0,2,6
2023,Docente: ANDRE COSTA DRUMMOND,0,0,4,0,8,0,0,0,1
2023,Docente: BRUNO LUIGGI MACCHIAVELLO ESPINOZA,3,0,3,0,0,0,0,0,4
2023,Docente: CAMILO CHANG DOREA,0,0,0,0,1,1,0,0,1
2023,Docente: CELIA GHEDINI RALHA,2,0,6,0,7,2,0,1,9
2023,Docente: CLAUDIA NALON,0,0,0,0,2,7,0,1,2
2023,Docente: DIBIO LEANDRO BORGES,0,0,2,0,3,3,0,0,3
2023,Docente: EDNA DIAS CANEDO,8,0,5,0,20,11,0,4,2
2023,Docente: EDUARDO ADILIO PELINSON ALCHIERI,1,0,4,0,14,0,0,0,3
2023,Docente: EDUARDO PEIXOTO FERNANDES DA SILVA,2,0,0,0,1,0,0,0,1
2023,Docente: FLAVIO DE BARROS VIDAL,5,0,1,0,3,5,0,0,2
2023,Docente: GENAINA NUNES RODRIGUES,4,0,5,0,7,3,0,2,6
2023,Docente: GEORGE LUIZ MEDEIROS TEODORO,0,0,2,0,4,1,0,0,2
2023,Docente: GERALDO PEREIRA ROCHA FILHO,5,0,2,0,23,2,0,0,2
2023,Docente: JACIR LUIZ BORDIM,1,0,2,0,3,0,0,0,2
2023,Docente: LI WEIGANG,2,0,6,0,8,4,0,3,3
2023,Docente: LUIS PAULO FAINA GARCIA,6,0,0,0,8,0,0,0,3
2023,Docente: MARCELO ANTONIO MAROTTA,1,0,0,0,5,1,0,0,3
2023,Docente: MARIA EMILIA MACHADO TELLES WALTER,1,0,4,0,1,0,0,0,5
2023,Docente: MARISTELA TERTO DE HOLANDA,5,0,4,0,8,0,0,0,2
2023,Docente: MAURICIO AYALA RINCON,2,0,5,0,7,6,0,3,6
2023,Docente: MYLENE CHRISTINE QUEIROZ DE FARIAS,0,0,3,0,8,1,0,0,5
2023,Docente: PEDRO GARCIA FREITAS,0,0,0,0,5,0,0,0,0
2023,Docente: PRISCILA AMERICA SOLIS MENDEZ BARRETO,3,0,0,0,8,0,0,1,2
2023,Docente: RICARDO LOPES DE QUEIROZ,1,0,2,0,3,1,0,2,1
2023,Docente: RICARDO PEZZUOL JACOBI,7,0,5,0,2,0,0,1,1
2023,Docente: RODRIGO BONIFACIO DE ALMEIDA,9,0,3,0,5,1,0,2,3
2023,Docente: TEOFILO EMIDIO DE CAMPOS,0,0,2,0,1,0,0,0,4
2023,Docente: THIAGO DE PAULO FALEIROS,6,0,0,0,1,0,0,0,2
2023,Docente: VANDER RAMOS ALVES,4,0,0,0,1,0,0,1,2
2023,Docente: VINICIUS RUELA PEREIRA BORGES,2,0,0,0,0,0,0,0,1
2024,Docente: ALBA CRISTINA MAGALHAES ALVES DE MELO,3,0,4,0,4,2,0,2,5
2024,Docente: ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN,0,0,6,0,17,5,0,0,6
2024,Docente: ANDRE COSTA DRUMMOND,0,0,4,0,8,0,0,0,1
2024,Docente: BRUNO LUIGGI MACCHIAVELLO ESPINOZA,2,0,3,0,1,0,0,0,4
2024,Docente: CELIA GHEDINI RALHA,3,0,4,0,8,9,0,0,9
2024,Docente: CLAUDIA NALON,0,0,0,0,4,11,0,2,2
2024,Docente: DIBIO LEANDRO BORGES,3,0,2,0,1,2,0,1,3
2024,Docente: EDNA DIAS CANEDO,9,0,6,0,27,0,0,1,2
2024,Docente: EDUARDO ADILIO PELINSON ALCHIERI,1,0,4,0,6,0,0,1,3
2024,Docente: EDUARDO PEIXOTO FERNANDES DA SILVA,2,0,0,0,2,6,0,0,1
2024,Docente: FLAVIO DE BARROS VIDAL,5,0,4,0,2,3,0,0,2
2024,Docente: GENAINA NUNES RODRIGUES,4,0,5,0,5,3,0,1,6
2024,Docente: GEORGE LUIZ MEDEIROS TEODORO,0,0,1,0,5,0,0,0,2
2024,Docente: GERALDO PEREIRA ROCHA FILHO,4,0,4,0,5,0,0,0,2
2024,Docente: JACIR LUIZ BORDIM,1,0,2,0,2,0,0,0,2
2024,Docente: LI WEIGANG,1,0,6,0,11,2,0,2,3
2024,Docente: LUIS PAULO FAINA GARCIA,6,0,2,0,5,0,0,0,3
2024,Docente: MARCELO ANTONIO MAROTTA,3,0,2,0,6,2,0,0,3
2024,Docente: MARIA EMILIA MACHADO TELLES WALTER,1,0,3,0,0,0,0,0,5
2024,Docente: MARISTELA TERTO DE HOLANDA,3,0,4,0,16,4,0,0,2
2024,Docente: MAURICIO AYALA RINCON,2,0,4,0,9,9,0,0,6
2024,Docente: MYLENE CHRISTINE QUEIROZ DE FARIAS,0,0,2,0,6,4,0,0,5
2024,Docente: PEDRO GARCIA FREITAS,0,0,0,0,7,5,0,0,2
2024,Docente: PRISCILA AMERICA SOLIS MENDEZ BARRETO,5,0,1,0,2,0,0,2,2
2024,Docente: RICARDO LOPES DE QUEIROZ,2,0,2,0,5,0,0,4,1
2024,Docente: RICARDO PEZZUOL JACOBI,6,0,6,0,1,0,0,1,1
2024,Docente: ROBERTO LUIS ROSELLO VALERA,0,0,0,0,0,0,0,0,0
2024,Docente: RODOLFO MORAES REIS,0,0,0,0,0,0,0,0,0
2024,Docente: RODRIGO BONIFACIO DE ALMEIDA,11,0,4,0,6,0,0,2,3
2024,Docente: TEOFILO EMIDIO DE CAMPOS,0,0,2,0,0,0,0,0,4
2024,Docente: THIAGO DE PAULO FALEIROS,7,0,0,0,3,0,0,1,2
2024,Docente: VANDER RAMOS ALVES,3,0,0,0,0,0,0,1,2
2024,Docente: VINICIUS RUELA PEREIRA BORGES,2,0,0,0,6,7,0,1,1